Id,HitboxActive,FirstActionableFrame,BaseDamage,Angle,BaseKnockBackSetKnockback,LandingLag,AutoCancel,KnockbackGrowth,Type,Name,OwnerId,LastModified
1558,"5-8 (Legs Intangible: 3-12)","47","8","70","80","","","70",1,"Dtilt",29,11/27/2016 12:08:51
1559,"9-21","-","5","50","80","","","56",1,"Dtilt (Late)",29,11/27/2016 12:08:51
1560,"19-40","70","11.5","361","25","","","102",1,"Fsmash",29,11/27/2016 12:08:51
1561,"79-106","130","19.5","361","25","","","102",1,"Fsmash (Full Charge)",29,11/27/2016 12:08:51
1562,"8","69","2","120","W: 160","","","100",1,"Usmash (Hit 1)",29,11/27/2016 12:08:51
1563,"11-12, 15-16, 19-20, 23-24, 27-28","-","1.5","90/366","W: 40/15","","","100",1,"Usmash (Hits 2-6)",29,11/27/2016 12:08:51
1564,"31","-","6","90","30","","","160",1,"Usmash (Hit 7)",29,11/27/2016 12:08:51
1565,"17","79","17","80","30","","","99",1,"Dsmash (Early)",29,11/27/2016 12:08:51
1566,"18-19","-","14","80/80/60/60","30/30/20/20","","","99/99/105/105",1,"Dsmash",29,11/27/2016 12:08:51
1567,"20-33","-","9","40/40/70/70","35","","","36",1,"Dsmash (Late)",29,11/27/2016 12:08:51
1569,"6-7","31","","","","","","",1,"Standing Grab",29,11/27/2016 12:08:51
1570,"8-9","38","","","","","","",1,"Dash Grab",29,11/27/2016 12:08:51
1571,"9-10","36","","","","","","",1,"Pivot Grab",29,11/27/2016 12:08:51
1573,"-","-","8","45","60","","","65",3,"Fthrow",29,11/27/2016 12:08:51
1574,"-","-","11","45","70","","","63",3,"Bthrow",29,11/27/2016 12:08:51
1575,"-","-","7","90","70","","","72",3,"Uthrow",29,11/27/2016 12:08:51
1576,"-","-","4.5","80","75","","","75",3,"Dthrow",29,11/27/2016 12:08:51
1582,"7-9","34","1 (+1)","361","60","-","-","150",0,"Nair 1",29,11/27/2016 12:08:51
1583,"7-9","-","2","361","22","-","-","30",0,"Nair 1 (Shot, Early)",29,11/27/2016 12:08:51
1584,"10-13","-","2","361","12","-","-","10",0,"Nair 1 (Shot)",29,11/27/2016 12:08:51
1585,"14-24","-","2","361","8","-","-","10",0,"Nair 1 (Shot, Late)",29,11/27/2016 12:08:51
1586,"19-21","46","1 (+1)","361","60","-","-","150",0,"Nair 2",29,11/27/2016 12:08:51
1587,"19-21","-","2","361","22","-","-","30",0,"Nair 2 (Shot, Early)",29,11/27/2016 12:08:51
1588,"22-25","-","2","361","12","-","-","10",0,"Nair 2 (Shot)",29,11/27/2016 12:08:51
1589,"26-36","-","2","361","8","-","-","10",0,"Nair 2 (Shot, Late)",29,11/27/2016 12:08:51
1590,"31-33","58","1 (+1)","361","60","-","-","150",0,"Nair 3",29,11/27/2016 12:08:51
1591,"31-33","-","2","361","22","-","-","30",0,"Nair 3 (Shot, Early)",29,11/27/2016 12:08:51
1592,"34-37","-","2","361","12","-","-","10",0,"Nair 3 (Shot)",29,11/27/2016 12:08:51
1593,"38-48","-","2","361","8","-","-","10",0,"Nair 3 (Shot, Late)",29,11/27/2016 12:08:52
1594,"9-11","41","8.5/8/8","50","23","19","1-2, 39&gt;","90",0,"Fair",29,11/27/2016 12:08:52
1595,"12-17","-","5","361","12","-","-","100",0,"Fair (Late)",29,11/27/2016 12:08:52
1596,"4","43","3","366/366/0/0","W: 70/70/B: 55/65","20","1-3, 40&gt;","100/100/15/15",0,"Bair (Hit 1)",29,11/27/2016 12:08:52
1597,"7","-","4","366/366/0/0","W: 70/70/B: 55/65","-","-","100/100/15/15",0,"Bair (Hit 2)",29,11/27/2016 12:08:52
1598,"10","-","5","361","30","-","-","180",0,"Bair (Hit 3)",29,11/27/2016 12:08:52
1599,"11-17 (Rehit rate: 3)","54","3","92","W: 70","19","51&gt;","100",0,"Uair (Early)",29,11/27/2016 12:08:52
1600,"18-31 (Rehit rate: 5)","-","2","92","W: 80","-","-","100",0,"Uair",29,11/27/2016 12:08:52
1601,"32-54 (Rehit rate: 5)","-","1","92","W: 80","-","-","100",0,"Uair (Late)",29,11/27/2016 12:08:52
1602,"55","-","2","92","5","-","-","260",0,"Uair (Final Hit)",29,11/27/2016 12:08:52
1603,"23-24","65","14","361","5","24","1-4, 55&gt;","90",0,"Dair",29,11/27/2016 12:08:52
1604,"25-33","-","12","270/45","5","-","-","90",0,"Dair (Late)",29,11/27/2016 12:08:52
1605,"16-64","43","3","70","20","","","50",2,"Metal Blade",29,11/27/2016 12:08:52
1606,"18-66","45","3","70","20","","","50",2,"Metal Blade (Thrown Back)",29,11/27/2016 12:08:52
1607,"-","-","5","46","40","","","70",2,"Metal Blade (Item Toss)",29,11/27/2016 12:08:52
1608,"19-76","45","0","0","5","","","0",2,"Crash Bomber (Bomb)",29,11/27/2016 12:08:52
1609,"1-18 (Rehit rate: 5)","-","1","361","11","","","15",2,"Crash Bomber (Explosion)",29,11/27/2016 12:08:52
1610,"19-","-","4","40","120","","","70",2,"Crash Bomber (Explosion, Final Hit)",29,11/27/2016 12:08:52
1611,"1 (Intangible: 6-9)","41","-","-","-","","","-",2,"Rush Coil",29,11/27/2016 12:08:52
1612,"50-144 (Rehit rate: 18)","54","2","361","14","","","22",2,"Leaf Shield",29,11/27/2016 12:08:52
1613,"22-79 (Rehit rate: 11)","56","3.8","65","50","","","70",2,"Leaf Shield (Thrown)",29,11/27/2016 12:08:52
1614,"7, 11, 15, 20, 24...","-","1.2 (+1)","60","8","","","30",1,"Rapid Jab",30,11/27/2016 12:08:53
1615,"3","35","2","361","60","","","140",1,"Rapid Jab Finisher",30,11/27/2016 12:08:53
1616,"7-11","32","6/6/5","60/70/80","70","","","90",1,"Dash Attack",30,11/27/2016 12:08:53
1617,"6","26","2","68/85","8","","","88",1,"Ftilt 1",30,11/27/2016 12:08:53
1618,"2","28","2","60/80","8","","","88",1,"Ftilt 2",30,11/27/2016 12:08:53
1619,"2","31","4","361","80","","","107",1,"Ftilt 3",30,11/27/2016 12:08:53
1620,"8-10","35","7/5","95","60","","","90",1,"Utilt",30,11/27/2016 12:08:53
1621,"11-14","-","7/6","95/85","60/35","","","90/120",1,"Utilt (Late)",30,11/27/2016 12:08:53
1622,"3-4","19","5","361","15","","","88",1,"Dtilt",30,11/27/2016 12:08:53
1623,"24","42","16","361","30","","","108/98",1,"Fsmash",30,11/27/2016 12:08:53
1624,"8","50","3","366/135/135","W: 20/25/25 B: 30","","","100",1,"Usmash (Hit 1)",30,11/27/2016 12:08:53
1625,"12","-","2","366/135/135","W: 20/25/25 B: 30/20/20","","","100",1,"Usmash (Hit 2)",30,11/27/2016 12:08:53
1626,"17","-","4","85/85/90","65","","","166",1,"Usmash (Hit 3)",30,11/27/2016 12:08:53
1627,"5","39","7","35","32","","","93",1,"Dsmash (Not Buffered, Hit 1)",30,11/27/2016 12:08:53
1628,"10","-","10","35","32","","","93",1,"Dsmash (Not Buffered, Hit 2)",30,11/27/2016 12:08:53
1629,"4","38","7","35","32","","","93",1,"Dsmash (Buffered, Hit 1)",30,11/27/2016 12:08:53
1630,"9","-","10","35","32","","","93",1,"Dsmash (Buffered, Hit 2)",30,11/27/2016 12:08:53
1632,"7-8","32","","","","","","",1,"Standing Grab",30,11/27/2016 12:08:53
1633,"9-10","40","","","","","","",1,"Dash Grab",30,11/27/2016 12:08:53
1634,"9-10","38","","","","","","",1,"Pivot Grab",30,11/27/2016 12:08:53
1636,"-","-","6, 3","65","50","","","140",3,"Fthrow",30,11/27/2016 12:08:53
1637,"-","-","7, 3","45","60","","","140",3,"Bthrow",30,11/27/2016 12:08:53
1638,"-","-","10","77","70","","","70",3,"Uthrow",30,11/27/2016 12:08:53
1639,"-","-","0.5&#37;&#215;9, 1, 2","60","50","","","170",3,"Dthrow",30,11/27/2016 12:08:53
1645,"6-7","44","10","361","40","16","1-5, 40&gt;","100",0,"Nair",30,11/27/2016 12:08:53
1646,"8-20","-","7.5","361","40","-","-","100",0,"Nair (Late)",30,11/27/2016 12:08:53
1647,"9, 12","46","1.5/1.5/2.2/2.2","85/85/361/361","W: 40/40/B: 30/30","16","44&gt;","100/100/130/130",0,"Fair (Hits 1-2)",30,11/27/2016 12:08:53
1648,"15","-","3","48","60","-","-","140",0,"Fair (Hit 3)",30,11/27/2016 12:08:53
1649,"7-8, 13-14","52","1.5/1.5/2.2/2.2","366/366/45/45","W: 90/90/B: 40/40","18","1-6, 40&gt;","100/100/130/130",0,"Bair (Hits 1-2)",30,11/27/2016 12:08:53
1650,"20-21","-","4","361","30","-","-","212",0,"Bair (Hit 3)",30,11/27/2016 12:08:53
1651,"6","27","4","69/69/52","30","18","1-5, 24&gt;","128",0,"Uair",30,11/27/2016 12:08:53
1652,"4","28","6","35/50/50","30","22","1-3, 26&gt;","108",0,"Dair",30,11/27/2016 12:08:53
1653,"12- (Rehit rate: 6)","-","1","90/366","10","","","100",2,"Mach Tornado",30,11/27/2016 12:08:53
1654,"42-44","-","3","70","55","","","170",2,"Mach Tornado (Final Hit)",30,11/27/2016 12:08:53
1655,"26-32 (Rehit rate: 6)","-","1","0/30/361/366","W: 30/30 B: 60/100/70/70","","","50",2,"Drill Rush",30,11/27/2016 12:08:53
1656,"33-69 (Rehit rate: 6)","-","1","50/366/366","40/70/70","","","45/50/50",2,"Drill Rush",30,11/27/2016 12:08:53
1657,"70","-","3","60","40","","","200",2,"Drill Rush (Final Hit)",30,11/27/2016 12:08:53
1658,"8","-","9","86/88/86/88","130/127/98/98","","","10",2,"Shuttle Loop (Grounded, Hit 1)",30,11/27/2016 12:08:53
1659,"9-12","-","6","86","90","","","10",2,"Shuttle Loop (Grounded, Hit 1, Late)",30,11/27/2016 12:08:53
1660,"22-27","-","6","80","55","","","130",2,"Shuttle Loop (Grounded, Hit 2)",30,11/27/2016 12:08:53
1661,"7-10","-","6","86","120/70","","","10",2,"Shuttle Loop (Aerial, Hit 1)",30,11/27/2016 12:08:53
1662,"20-26","-","6","80","55","","","118",2,"Shuttle Loop (Aerial, Hit 2)",30,11/27/2016 12:08:53
1663,"(Intangible: 12-39)","64","-","-","-","","","-",2,"Dimensional Cape",30,11/27/2016 12:08:53
1664,"34- (Intangible: 12-28)","93","16/15/14","-","-","","","-",2,"Dimensional Cape (Attack)",30,11/27/2016 12:08:53
1665,"6","25","4","76/70","50/20","","","20/60",1,"Jab 1",31,11/27/2016 12:08:54
1666,"6","36","2","361","82","","","100",1,"Rapid Jab Finisher",31,11/27/2016 12:08:54
1667,"10-11","39","10/9","60/70","80","","","70/60",1,"Dash Attack",31,11/27/2016 12:08:54
1668,"12-20","-","6/4","70/80","80","","","70/60",1,"Dash Attack (Late)",31,11/27/2016 12:08:54
1669,"10-11","36","10/9/8","361","20","","","100",1,"Ftilt (All Angles)",31,11/27/2016 12:08:54
1670,"8","30","6/5/4.5/4.5","110/110/361/110","70/60/50/50","","","114/114/80/50",1,"Utilt",31,11/27/2016 12:08:54
1671,"9-13","-","5/4/3","78","60/50/40","","","114",1,"Utilt (Late)",31,11/27/2016 12:08:54
1672,"6-7","21","5/4.5/4","80/70/60","60/65/60","","","82/84/70",1,"Dtilt",31,11/27/2016 12:08:54
1673,"19-21","53","16/19","361","30/21","","","90/85",1,"Fsmash",31,11/27/2016 12:08:54
1674,"9","69","1","100","W: 90","","","100",1,"Usmash (Hit 1)",31,11/27/2016 12:08:54
1675,"14-15, 18-19, 22-23, 26-27, 30-31","-","1","170/170/95/270","W: 18/18/40/5","","","100",1,"Usmash (Hits 2-6)",31,11/27/2016 12:08:54
1676,"34-35","-","10","80/80/90/90","60","","","107",1,"Usmash (Hit 7)",31,11/27/2016 12:08:54
1677,"21-22","44","15","55","20","","","118",1,"Dsmash",31,11/27/2016 12:08:54
1679,"7-8","36","","","","","","",1,"Standing Grab",31,11/27/2016 12:08:55
1680,"9-10","43","","","","","","",1,"Dash Grab",31,11/27/2016 12:08:55
1681,"10-11","41","","","","","","",1,"Pivot Grab",31,11/27/2016 12:08:55
1683,"-","-","3, 2&#37;&#215;5","-","-","","","-",3,"Fthrow",31,11/27/2016 12:08:55
1684,"-","-","10","47","70","","","75",3,"Bthrow",31,11/27/2016 12:08:55
1685,"-","-","12","90","72","","","65",3,"Uthrow",31,11/27/2016 12:08:55
1686,"-","-","4, 5","74","65","","","50",3,"Dthrow",31,11/27/2016 12:08:55
1692,"7-8, 11-12, 15-16, 19-20","46","1","185/185/110/110","W: 22/22/46/46 B: 20","13","46&gt;","100",0,"Nair (Hits 1-4)",31,11/27/2016 12:08:55
1693,"23-24, 27-28, 31-32, 35-36","-","1","185/185/110/110","W: 22/22/46/46 B: 20","-","-","100",0,"Nair (Hits 5-8)",31,11/27/2016 12:08:55
1694,"39-40","-","4","361","40","-","-","110",0,"Nair (Hit 9)",31,11/27/2016 12:08:55
1695,"6-8","38","13","50","40","14","36&gt;","100",0,"Fair",31,11/27/2016 12:08:55
1696,"13-17","40","13/11/9","361","20","17","1-2, 38&gt;","90",0,"Bair",31,11/27/2016 12:08:55
1697,"10-14","40","11/10/9","72/65/55","40","13","1-2, 36&gt;","97",0,"Uair",31,11/27/2016 12:08:55
1698,"15-18","46","15/14","270/70","10/20","18","1-3, 42&gt;","100/98",0,"Dair",31,11/27/2016 12:08:55
1699,"23- (6- From Charge)","49 (32 From Charge)","-","-","-","","","-",2,"Shadow Ball",31,11/27/2016 12:08:55
1700,"-","-","2.5","361","14","","","30",2,"Shadow Ball (Uncharged)",31,11/27/2016 12:08:55
1701,"-","-","25 (+3)","47","30","","","67",2,"Shadow Ball (Charged)",31,11/27/2016 12:08:55
1702,"12-15 (Reflects on: 12-35)","45","1&#37;&#215;9","-","-","","","-",2,"Confusion",31,11/27/2016 12:08:55
1703,"Intangible: 9-17","-","-","-","-","","","-",2,"Teleport",31,11/27/2016 12:08:55
1704,"16-22","48","1","-","-","","","-",2,"Disable",31,11/27/2016 12:08:55
1705,"2-3","16","3","45/80","W: 10/15","","","100",1,"Jab 1",32,11/27/2016 12:08:56
1706,"2-3","19","2","94/45/45","W: 25/15/15","","","100",1,"Jab 2",32,11/27/2016 12:08:56
1707,"?","?","?","?","?","","","?",1,"Rapid Jab",32,11/27/2016 12:08:56
1708,"4-5","41","2","45","130","","","65",1,"Rapid Jab Finisher",32,11/27/2016 12:08:56
1709,"6-9","38","11 (+1)","60","100","","","50",1,"Dash Attack",32,11/27/2016 12:08:56
1710,"10-17","-","6 (+1)","60","100","","","40",1,"Dash Attack (Late)",32,11/27/2016 12:08:56
1711,"6-8","28","8.5/7.5","361","12","","","100",1,"Ftilt (High)",32,11/27/2016 12:08:56
1712,"6-8","-","8/7","361","12","","","100",1,"Ftilt",32,11/27/2016 12:08:56
1713,"6-9","-","8.3/7.3","361","12","","","100",1,"Ftilt (Low)",32,11/27/2016 12:08:56
1714,"5-12","30","6","96","28","","","130",1,"Utilt",32,11/27/2016 12:08:56
1715,"7-8","28","8","80","50","","","90",1,"Dtilt",32,11/27/2016 12:08:56
1716,"17","68","18","361","30","","","100",1,"Fsmash (All Angles)",32,11/27/2016 12:08:56
1717,"8-11 (Legs Intangible: 8-12)","48","14","84","32","","","93",1,"Usmash",32,11/27/2016 12:08:56
1718,"12-14","-","10","84","32","","","93",1,"Usmash (Late)",32,11/27/2016 12:08:56
1719,"9-10","44","13","32/35","38/50","","","80/83",1,"Dsmash",32,11/27/2016 12:08:56
1721,"6-7","30","","","","","","",1,"Standing Grab",32,11/27/2016 12:08:56
1722,"8-9","37","","","","","","",1,"Dash Grab",32,11/27/2016 12:08:56
1723,"9-10","35","","","","","","",1,"Pivot Grab",32,11/27/2016 12:08:56
1725,"-","-","9","45","60","","","65",3,"Fthrow",32,11/27/2016 12:08:56
1726,"-","-","2, 5","45","70","","","60",3,"Bthrow",32,11/27/2016 12:08:56
1727,"-","-","8","93","100","","","30",3,"Uthrow",32,11/27/2016 12:08:56
1728,"-","-","2, 4","80","65","","","100",3,"Dthrow",32,11/27/2016 12:08:56
1734,"3-5","56","10","361","20","10","1-2, 37&gt;","100",0,"Nair",32,11/27/2016 12:08:56
1735,"6-29","-","5","361","20","-","-","90",0,"Nair (Late)",32,11/27/2016 12:08:56
1736,"8-9","45","4","366","40","14","1-2, 43&gt;","100",0,"Fair (Hit 1)",32,11/27/2016 12:08:56
1737,"18-20","-","5","40","35","-","-","100",0,"Fair (Hit 2)",32,11/27/2016 12:08:56
1738,"7-9","40","10","361","10","14","28&gt;","100",0,"Bair",32,11/27/2016 12:08:56
1739,"6-10","36","8","75","9","14","23&gt;","100",0,"Uair",32,11/27/2016 12:08:56
1740,"16","50","13","270/70","10/30","18","1-4, 37&gt;","80/100",0,"Dair",32,11/27/2016 12:08:56
1741,"17-18","-","12","361","30","-","-","100",0,"Dair (Late)",32,11/27/2016 12:08:56
1742,"28-?","80","15","67","50","","","64",2,"Neutral 1: Shot Put",32,11/27/2016 12:08:56
1743,"19","66","8","80","40","","","100",2,"Neutral 2: Ultimate Uppercut (No Charge, Ground)",32,11/27/2016 12:08:56
1744,"20-21","-","5","80","20","","","82",2,"Neutral 2: Ultimate Uppercut (No Charge, Ground, Late)",32,11/27/2016 12:08:56
1745,"Full Charge: 124 Frames","-","-","-","-","","","-",2,"Neutral 2: Ultimate Uppercut (Charging)",32,11/27/2016 12:08:56
1746,"12","69","23 (+3)","85","32","","","80",2,"Neutral 2: Ultimate Uppercut (Full Charge)",32,11/27/2016 12:08:56
1747,"13-16","-","16","85","25","","","83",2,"Neutral 2: Ultimate Uppercut (Full Charge, Late)",32,11/27/2016 12:08:57
1748,"19","-","6.4","80","40","","","100",2,"Neutral 2: Ultimate Uppercut (No Charge, Air)",32,11/27/2016 12:08:57
1749,"20-21","-","4","80","20","","","66",2,"Neutral 2: Ultimate Uppercut (No Charge, Air, Late)",32,11/27/2016 12:08:57
1750,"12","-","16.1 (+3)","85","32","","","70",2,"Neutral 2: Ultimate Uppercut (Full Charge, Air)",32,11/27/2016 12:08:57
1751,"12","-","11.2","85","25","","","70",2,"Neutral 2: Ultimate Uppercut (Full Charge, Air, Late)",32,11/27/2016 12:08:57
1752,"50-52 (Super Armor 40-53)","90","25","361","35","","","79",2,"Neutral 3: Exploding Side Kick",32,11/27/2016 12:08:57
1753,"50-52 (Super Armor 40-53)","-","21.25","361","35","","","79",2,"Neutral 3: Exploding Side Kick (Aerial)",32,11/27/2016 12:08:57
1754,"58-60 (Super Armor 48-61)","98","27","361","35","","","79",2,"Neutral 3: Exploding Side Kick (B-Reversed)",32,11/27/2016 12:08:57
1755,"58-60 (Super Armor 48-61)","-","22.950001","361","35","","","79",2,"Neutral 3: Exploding Side Kick (B-Reversed, Aerial)",32,11/27/2016 12:08:57
1756,"16-35","74","-","-","-","","","-",2,"Side 1: Onslaught (Inert Hitbox, Ground)",32,11/27/2016 12:08:57
1757,"4-17 (Rehit rate: 5)","70","1.2","95/366","W: 10","","","100",2,"Side 1: Onslaught (Attack, Ground)",32,11/27/2016 12:08:57
1758,"20-21","-","1.2","75","W: 50","","","100",2,"Side 1: Onslaught (Attack, Ground)",32,11/27/2016 12:08:57
1759,"28-30","-","4","80","60","","","175",2,"Side 1: Onslaught (Final Hit, Ground)",32,11/27/2016 12:08:57
1760,"19-35","-","-","50","0","","","0",2,"Side 1: Onslaught (Inert Hitbox, Aerial)",32,11/27/2016 12:08:57
1761,"4-17 (Rehit rate: 5)","70","1","95/366","W: 10","","","1000",2,"Side 1: Onslaught (Attack, Aerial)",32,11/27/2016 12:08:57
1762,"20-21","-","1","60","W: 70","","","100",2,"Side 1: Onslaught (Attack, Aerial)",32,11/27/2016 12:08:57
1763,"28-30","-","4","80","60","","","160",2,"Side 1: Onslaught (Final Hit, Aerial)",32,11/27/2016 12:08:57
1764,"19-25","-","7 (+6)","361","60","","","85",2,"Side 2: Burning Dropkick (No Charge)",32,11/27/2016 12:08:57
1765,"26-53","-","7","361","50","","","78",2,"Side 2: Burning Dropkick (No Charge, Late)",32,11/27/2016 12:08:57
1766,"63-69","-","7 (+6)","361","50","","","78",2,"Side 2: Burning Dropkick (Full Charge)",32,11/27/2016 12:08:57
1767,"70-97","-","7","361","50","","","78",2,"Side 2: Burning Dropkick (Full Charge, Late)",32,11/27/2016 12:08:57
1768,"18-19","-","13/10/13","45/270/45","30","","","120/100/120",2,"Side 3: Headache Maker",32,11/27/2016 12:08:57
1769,"20-26","-","9","45","30","","","110",2,"Side 3: Headache Maker (Late)",32,11/27/2016 12:08:57
1770,"1-2","39","4","361","60","","","100",2,"Side 3: Headache Maker (Landing)",32,11/27/2016 12:08:57
1771,"16-","-","?","?","?","","","?",2,"Up 1: Soaring Axe Kick",32,11/27/2016 12:08:57
1772,"52-","-","?","?","?","","","?",2,"Up 1: Soaring Axe Kick (Fall)",32,11/27/2016 12:08:57
1773,"2-3","41","4","45","45","","","170",2,"Up 1: Soaring Axe Kick (Landing)",32,11/27/2016 12:08:57
1774,"8","-","3","75","W: 70","","","100",2,"Up 2: Helicopter Kick (Ground, Hit 1)",32,11/27/2016 12:08:57
1775,"8","-","?","?","?","","","?",2,"Up 2: Helicopter Kick (Aerial, Hit 1)",32,11/27/2016 12:08:57
1776,"15-, 20-, 26-, 31-","-","?","?","?","","","?",2,"Up 2: Helicopter Kick (Hits 2-5)",32,11/27/2016 12:08:57
1777,"36-37","-","6","55","60","","","155",2,"Up 2: Helicopter Kick (Ground, Hit 6)",32,11/27/2016 12:08:57
1778,"36-37","-","6","43","60","","","150",2,"Up 2: Helicopter Kick (Aerial, Hit 6)",32,11/27/2016 12:08:57
1779,"4-5","-","3","110","W: 150/30","","","100",2,"Up 3: Piston Punch (Hit 1)",32,11/27/2016 12:08:57
1780,"7-8, 10-11","-","1","366/110","W: 120","","","100",2,"Up 3: Piston Punch (Hits 2-3)",32,11/27/2016 12:08:57
1781,"13-14, 16-17, 19-20, 22-23","-","1","366/95","W: 150","","","100",2,"Up 3: Piston Punch (Hits 4-7)",32,11/27/2016 12:08:57
1782,"25-26","-","2","89","74","","","180",2,"Up 3: Piston Punch (Hit 8)",32,11/27/2016 12:08:57
1783,"8 (Ground Only)","59","4","0","53/43","","","10",2,"Down 1: Head-On Assault (Hit 1)",32,11/27/2016 12:08:57
1784,"28-","-","8","270/361","25/30","","","120/50",2,"Down 1: Head-On Assault (Falling)",32,11/27/2016 12:08:57
1785,"1","-","8","361/60","50/40","","","110/113",2,"Down 1: Head-On Assault (Landing)",32,11/27/2016 12:08:57
1786,"-","32","-","-","-","","","-",2,"Down 2: Feint Jump",32,11/27/2016 12:08:57
1787,"12-25","38","10 (+5)","35/60","35","","","100",2,"Down 2: Feint Jump (Attack)",32,11/27/2016 12:08:57
1788,"16, 19, 22, 25, 28, 31, 34, 37","88","1","12/12/10","W: 70/120/50","","","100",2,"Down 3: Foot Flurry (Ground, Hits 1-7)",32,11/27/2016 12:08:57
1789,"40","-","6","55","50","","","150",2,"Down 3: Foot Flurry (Ground, Hit 8)",32,11/27/2016 12:08:57
1790,"16, 19, 22, 25, 28, 31, 34","88","1","130/230","W: 40","","","100",2,"Down 3: Foot Flurry (Aerial, Hits 1-6)",32,11/27/2016 12:08:57
1791,"40","-","6","55","50","","","140",2,"Down 3: Foot Flurry (Final Hit, Air)",32,11/27/2016 12:08:57
1792,"5-6","26","2","65/94/60","30","","","50",1,"Jab 1",33,11/27/2016 12:08:58
1793,"4-5","26","2","83/70/45","38","","","28",1,"Jab 2",33,11/27/2016 12:08:58
1794,"7-9","38","1","350/90","W: 20","","","100",1,"Jab 3 (Hit 1)",33,11/27/2016 12:08:58
1795,"14-15","-","4","361","40","","","110",1,"Jab 3 (Hit 2)",33,11/27/2016 12:08:58
1796,"10-14","46","10","60","80","","","70",1,"Dash Attack",33,11/27/2016 12:08:58
1797,"10-11","-","9","361","30","","","100",1,"Ftilt (Early)",33,11/27/2016 12:08:58
1798,"12-13","-","","361","30","","","100",1,"Ftilt",33,11/27/2016 12:08:58
1799,"14-15","-","6","361","30","","","100",1,"Ftilt (Late)",33,11/27/2016 12:08:58
1800,"5","38","10/9","95/90","50","","","100/80",1,"Utilt",33,11/27/2016 12:08:58
1801,"6-9","-","8","95","50","","","70",1,"Utilt (Late)",33,11/27/2016 12:08:58
1802,"8-10","41","14","80","80","","","60",1,"Dtilt",33,11/27/2016 12:08:58
1803,"17-38 (Rehit rate: 4)","78","0.8","80/10","W: 5","","","100",1,"Fsmash",33,11/27/2016 12:08:58
1804,"40","-","5","45","30","","","193",1,"Fsmash (Final Hit)",33,11/27/2016 12:08:58
1805,"11-12","56","3","110/110/110/180","70/70/30/40","","","25",1,"Usmash (Hit 1)",33,11/27/2016 12:08:58
1806,"15-16","-","2.5","150/150/180","55/55/30","","","25",1,"Usmash (Hit 2)",33,11/27/2016 12:08:58
1807,"19-20","-","2.5","180/180/240","50/50/30","","","25",1,"Usmash (Hit 3)",33,11/27/2016 12:08:58
1808,"23-24","-","2.5","220/220/280","40/40/30","","","25",1,"Usmash (Hit 4)",33,11/27/2016 12:08:58
1809,"27-28","-","6","90","50","","","150",1,"Usmash (Hit 5)",33,11/27/2016 12:08:58
1810,"9","53","4","164","W: 90/110/130","","","100",1,"Dsmash (Hit 1)",33,11/27/2016 12:08:58
1811,"23-25","-","10","50","60","","","105",1,"Dsmash (Hit 2)",33,11/27/2016 12:08:58
1813,"6-7","29","","","","","","",1,"Standing Grab",33,11/27/2016 12:08:58
1814,"8-9","39","","","","","","",1,"Dash Grab",33,11/27/2016 12:08:58
1815,"9-10","35","","","","","","",1,"Pivot Grab",33,11/27/2016 12:08:59
1817,"-","-","2, 3","45","42","","","130",3,"Fthrow",33,11/27/2016 12:08:59
1818,"-","-","2, 3","45, 361","80, 20","","","56, 160",3,"Bthrow",33,11/27/2016 12:08:59
1819,"-","-","2, 3","90, 89","75, 40","","","53, 150",3,"Uthrow",33,11/27/2016 12:08:59
1820,"-","-","5","100","95","","","50",3,"Dthrow",33,11/27/2016 12:08:59
1826,"8-21","42","6","361","45","18","1-3, 35&gt;","80",0,"Nair",33,11/27/2016 12:08:59
1827,"10-13","56","6","45","35","12","47&gt;","110",0,"Fair",33,11/27/2016 12:08:59
1828,"14-","-","4","70","50","-","-","80",0,"Fair (Late)",33,11/27/2016 12:08:59
1829,"9-10","48","12","361","30/42","18","1-3, 32&gt;","88",0,"Bair",33,11/27/2016 12:08:59
1830,"17","62","1","140","W: 45","22","1-10, 60&gt;","100",0,"Uair (Hit 1)",33,11/27/2016 12:08:59
1831,"18-37 (Rehit rate: 3)","-","1","366/96/130","W: 25","-","-","100",0,"Uair",33,11/27/2016 12:08:59
1832,"39","-","3","72","40","-","-","170",0,"Uair (Final Hit)",33,11/27/2016 12:08:59
1833,"20","55","10/15/15","361/270/361","30/2/30","28","1-3, 54&gt;","90",0,"Dair",33,11/27/2016 12:08:59
1834,"16?","39?","3","361","14","","","42",2,"Neutral 1: Charge Blast (No Charge)",33,11/27/2016 12:08:59
1835,"16?","39?","22","50","20","","","64",2,"Neutral 1: Charge Blast (Full Charge)",33,11/27/2016 12:08:59
1836,"?","?","4","361","W: 3","","","100",2,"Neutral 2: Laser Blaze",33,11/27/2016 12:08:59
1837,"","-","3","361","W: 3","","","100",2,"Neutral 2: Laser Blaze (Late)",33,11/27/2016 12:08:59
1838,"1-17 (Rehit rate: 5)","","0.5","160","30","","","10",2,"Neutral 3: Grenade Launcher (Explosion)",33,11/27/2016 12:08:59
1839,"18","-","6","55","20","","","160",2,"Neutral 3: Grenade Launcher (Final Hit)",33,11/27/2016 12:08:59
1840,"21-","60","4","80","40","","","80",2,"Side 1: Flame Pilar (Shot)",33,11/27/2016 12:08:59
1841,"1-","-","6","45","40","","","70",2,"Side 1: Flame Pillar (Pillar)",33,11/27/2016 12:08:59
